company_name;founded;industry;location;about;stage;amount;Table
Finsall;2019;Financial Services;Bangalore;Finsall is an end-to-end technology process for insurance premium financing and has built a multi-lender platform for banks and NBFCs.;Pre-series A;930000;2022
Cloud Tailor;2020;Apparel & Fashion;Hyderabad;World's Local Cloud Boutique mobile app - Exclusively for Ladieswear.;Pre-series A;930000;2022
Hospals;2018;Hospital & Health Care;New Delhi;Hospals is ‘The most trust able’ medical travel company in India, connecting patients and doctors around the world, with the best hospitals and surgeons in India.;Pre-series A;3255000;2022
Carbanio;2017;B2B Marketplace;Hyderabad;India's largest Chemicals Bazaar for buying and selling chemicals online;Seed;1209000;2022
Accelero Vehicles;2017;Automotive;New Delhi;"eBik™ developed by ""Accelero Vehicles India Private Limited” aims to provide motorized mobility for all.";Seed;186000;2022
Anveya Living;2018;Consumer Goods;Bangalore;Anveya is building powerful brands that create a positive impact for the consumer, the industry and the planet.;Seed;930000;2022
Meraqui;2019;Human Resources;Pune;A SaaS-enabled platform for effective grey and blue-collar workforce management specializing in employee lifecycle management, jobs and requisition management, and training and/or interview assessments.;Seed;930000;2022
Com Olho;2019;Information Technology & Services;Gurgaon;Com Olho is a leading cloud-based cyber security as a service platform.;Seed;1860000;2022
OneTo11;2020;Sports;Noida;OneTo11 is a tech driven gaming company.;Seed;2325000;2022
Peakperformer;2020;Professional Training & Coaching;Bangalore;Empowering organizations by building leaders at all career levels.;Seed;2790000;2022
Cercle X;2020;Environmental Services;Coimbatore;Infinite Cercle is the parent company of a group of companies dealing predominantly with enabling a circular economy and sustainability.;Seed;232500;2022
Bhanzu;2020;Education Management;Hyderabad;Bhanzu aims to inculcate a love for math at a global level and change the way students perceive math for a better world;Seed;1860000;2022
Aastey;2020;Apparel & Fashion;Mumbai;Building India's first size inclusive brand for athleisure, activewear & essentials for women.;Seed;1209000;2022
Pillow;2021;Financial Services;Bangalore;Pillow aims to make participation in DeFi as simple as possible, by abstracting out all technical, security, and strategic concerns;Seed;2790000;2022
Goldsetu;2021;SaaS;Bangalore;Gold Setu is a mobile-first SaaS platform for jewellery retailers that helps them to automate their workflows and digitally engage with their customers.;Seed;1116000;2022
Better Opinions;2021;Financial Services;Gurgaon;Better Opinions, an even trading platform;Seed;930000;2022
Aulerth;2021;Luxury Goods & Jewelry;Gurgaon;Aulerth is bridging the gap between two worlds by creating jewelry that is couture-inspired and consciously made.;Seed;1023000;2022
RetainIQ;2021;E-commerce;Bangalore;RetainIQ enables ecommerce stores & brands globally, to convert and retain their customers;Seed;2139000;2022
GreenPod Labs;2019;Biotechnology;Chennai;Provide cost-effective post-harvest solutions to extend the shelf life of fruits and vegetables during storage and transport.;Pre-seed;465000;2022
Adicube;2019;Marketing & Advertising;Bangalore;An influencer marketing platform;Pre-seed;1488000;2022
